Date North America[a][6],City North America[a][6],Country North America[a][6],Venue North America[a][6],Attendance North America[a][6],Box Office North America[a][6],Unnamed: 6_level_0 Unnamed: 6_level_1,Unnamed: 7_level_0 Unnamed: 7_level_1,Unnamed: 8_level_0 Unnamed: 8_level_1,Unnamed: 9_level_0 Unnamed: 9_level_1,Unnamed: 10_level_0 Unnamed: 10_level_1
20 July 2017[p],Marbella,Spain,Nagüeles Quarry Amphitheatre,—,—,,,,,
Oceania,Oceania,Oceania,Oceania,Oceania,Oceania,,,,,
22 September 2017,Mackay,Australia,BB Print Stadium Mackay,"14,231 / 14,675","$1,788,024",,,,,
24 September 2017,Wollongong,Australia,WIN Stadium,"20,285 / 21,455","$2,458,286",,,,,
27 September 2017,Hobart,Australia,Derwent Entertainment Centre,"9,738 / 10,322","$1,618,603",,,,,
28 September 2017,Hobart,Australia,Derwent Entertainment Centre,"9,738 / 10,322","$1,618,603",,,,,
30 September 2017,Cairns,Australia,Cazaly's Stadium,"21,986 / 25,000","$2,617,682",,,,,
1 October 2017[q],Yarra Valley,Australia,Rochford Wines Yarra Valley,—,—,,,,,
North America,North America,North America,North America,North America,North America,,,,,
10 November 2017,Moline,United States,iWireless Center,"11,050 / 11,141","$1,113,041",,,,,
11 November 2017,Evansville,United States,Ford Center,"10,319 / 10,319","$1,058,661",,,,,
14 November 2017,Kingston,Canada,Rogers K-Rock Centre,"6,440 / 6,440","$844,471",,,,,
15 November 2017,St. Catharines,Canada,Meridian Centre,"6,455 / 6,455","$856,449",,,,,
17 November 2017,Portland,United States,Cross Insurance Arena,"7,806 / 7,983","$1,000,087",,,,,
18 November 2017,Bangor,United States,Cross Insurance Center,"6,873 / 6,975","$1,018,613",,,,,
Eurasia,Eurasia,Eurasia,Eurasia,Eurasia,Eurasia,Eurasia,Eurasia,Eurasia,Eurasia,Eurasia
1 December 2017,Paris,France,AccorHotels Arena,"12,839 / 14,459","$1,951,518",,,,,
3 December 2017,Barcelona,Spain,Palau Sant Jordi,—,—,,,,,
5 December 2017[r],Hamburg,Germany,Barclaycard Arena,"10,197 / 10,646","$1,014,484",,,,,
6 December 2017,Monte Carlo,Monaco,Grimaldi Forum,—,—,,,,,
8 December 2017[s],Dubai,United Arab Emirates,Autism Rocks Amphitheatre,—,—,,,,,
10 December 2017,Beirut,Lebanon,Forum de Beyrouth,—,—,,,,,
12 December 2017,Toulouse,France,Zénith de Toulouse,—,—,,,,,
14 December 2017,Moscow,Russia,Crocus City Hall,—,—,,,,,
16 December 2017,Friedrichshafen,Germany,Rothaus Halle A1,"7,119 / 7,183","$764,407",,,,,
30 June 2018[t],Shekvetili,Georgia,Black Sea Arena,—,—,,,,,
1 July 2018[t],Shekvetili,Georgia,Black Sea Arena,—,—,,,,,
TOTAL,TOTAL,TOTAL,TOTAL,"651,254 / 727,920 (89.47%)","$66,935,803",,,,,
