artist,date,city,country,showVenue,supportAct,revenue,tourName,ticketsSold,ticketsAvailable,source,soldOut
Taylor Swift,17 April 2011,Paris,France,Zénith de Paris,None,201781,Speak Now World Tour,3598,8500,TS Kaggle,FALSE
Taylor Swift,19 April 2011,Madrid,Spain,Palacio de los Deportes,The Bright,251864,Speak Now World Tour,3962,3962,TS Kaggle,TRUE
Taylor Swift,22 April 2011,Birmingham,England,LG Arena,Martin & James,508854,Speak Now World Tour,9339,9339,TS Kaggle,TRUE
Taylor Swift,25 March 2011,Belfast,Northern Ireland,Odyssey Arena,Ryan Sheridan,379001,Speak Now World Tour,8058,8058,TS Kaggle,TRUE
Taylor Swift,27 April 2011,Dublin,Ireland,The O2,Ryan Sheridan,419806,Speak Now World Tour,8681,8681,TS Kaggle,TRUE
Taylor Swift,29 March 2011,Manchester,England,Manchester Evening News Arena,Martin & James,580558,Speak Now World Tour,10488,11622,TS Kaggle,FALSE
Taylor Swift,30 March 2011,London,England,The O2 Arena,Martin & James,891152,Speak Now World Tour,15265,15681,TS Kaggle,FALSE
Taylor Swift,27 May 2011,Omaha,United States,Qwest Center Omaha,Needtobreathe,1717104,Speak Now World Tour,26992,26992,TS Kaggle,TRUE
Taylor Swift,28 May 2011,Omaha,United States,Qwest Center Omaha,Needtobreathe,1717104,Speak Now World Tour,26992,26992,TS Kaggle,TRUE
Taylor Swift,29 May 2011,Des Moines,United States,Wells Fargo Arena,Needtobreathe,862771,Speak Now World Tour,13149,13149,TS Kaggle,TRUE
Taylor Swift,02 June 2011,Sunrise,United States,BankAtlantic Center,Needtobreathe,1582951,Speak Now World Tour,24077,24077,TS Kaggle,TRUE
Taylor Swift,03 June 2011,Sunrise,United States,BankAtlantic Center,Needtobreathe,1582951,Speak Now World Tour,24077,24077,TS Kaggle,TRUE
Taylor Swift,04 June 2011,Orlando,United States,Amway Center,Needtobreathe,791980,Speak Now World Tour,12262,12262,TS Kaggle,TRUE
Taylor Swift,07 June 2011,Columbus,United States,Nationwide Arena,Needtobreathe,955259,Speak Now World Tour,14817,14817,TS Kaggle,TRUE
Taylor Swift,08 June 2011,Milwaukee,United States,Bradley Center,Needtobreathe,897042,Speak Now World Tour,13748,13748,TS Kaggle,TRUE
