city,country,venue_name,support_act,revenue,event_name,tix_sold,tix_available,event_date
Houston,United States,Toyota Center,Gloriana Kellie Pickler,1290926.0,Fearless Tour,23493,23493,25/05/2010
Houston,United States,Toyota Center,Gloriana Kellie Pickler,1290926.0,Fearless Tour,23493,23493,26/05/2010
Washington,United States,Verizon Center,Gloriana Kellie Pickler,1824743.0,Fearless Tour,27290,27290,01/06/2010
Washington,United States,Verizon Center,Gloriana Kellie Pickler,1824743.0,Fearless Tour,27290,27290,02/06/2010
Foxborough,United States,Gillette Stadium,Gloriana Justin Bieber Kellie Pickler,3726157.0,Fearless Tour,56868,56868,05/06/2010
Cavendish,Canada,Cavendish Beach Festival Grounds,,,Fearless Tour,35000,35000,10/07/2010
Singapore,Singapore,Singapore Indoor Stadium,Sezairi Sezali,916850.0,Speak Now World Tour,8964,8964,09/02/2011
Seoul,South Korea,Olympic Gymnastics Arena,,385374.0,Speak Now World Tour,4725,4725,11/02/2011
Osaka,Japan,Osaka-Jo Hall,,758113.0,Speak Now World Tour,6953,6953,13/02/2011
Tokyo,Japan,Nippon Budokan,,1738227.0,Speak Now World Tour,15955,15955,16/02/2011
Tokyo,Japan,Nippon Budokan,,1738227.0,Speak Now World Tour,15955,15955,17/02/2011
Quezon City,Philippines,Smart Araneta Coliseum,Sam Concepcion,859037.0,Speak Now World Tour,12667,12667,19/02/2011
Hong Kong,Hong Kong,AsiaWorldArena,Saito Johnny,1030633.0,Speak Now World Tour,12573,12573,21/02/2011
Brussels,Belgium,Forest National,Tom Dice,219212.0,Speak Now World Tour,4622,4622,06/03/2011
Rotterdam,Netherlands,Sportpaleis van Ahoy,Tom Dice,248314.0,Speak Now World Tour,4799,4799,07/03/2011
Oslo,Norway,Oslo Spektrum,,815246.0,Speak Now World Tour,8650,8650,09/03/2011
Oberhausen,Germany,König Pilsener Arena,Martin & James,370028.0,Speak Now World Tour,6082,6082,12/03/2011
Milan,Italy,Mediolanum Forum,Emma Marrone,153303.0,Speak Now World Tour,3421,5585,15/04/2011
Paris,France,Zénith de Paris,,201781.0,Speak Now World Tour,3598,8500,17/04/2011
Madrid,Spain,Palacio de los Deportes,The Bright,251864.0,Speak Now World Tour,3962,3962,19/04/2011
Birmingham,England,LG Arena,Martin & James,508854.0,Speak Now World Tour,9339,9339,22/04/2011
Belfast,Northern Ireland,Odyssey Arena,Ryan Sheridan,379001.0,Speak Now World Tour,8058,8058,25/03/2011
Dublin,Ireland,The O2,Ryan Sheridan,419806.0,Speak Now World Tour,8681,8681,27/04/2011
Manchester,England,Manchester Evening News Arena,Martin & James,580558.0,Speak Now World Tour,10488,11622,29/03/2011
London,England,The O2 Arena,Martin & James,891152.0,Speak Now World Tour,15265,15681,30/03/2011
Omaha,United States,Qwest Center Omaha,Needtobreathe,1717104.0,Speak Now World Tour,26992,26992,27/05/2011
Omaha,United States,Qwest Center Omaha,Needtobreathe,1717104.0,Speak Now World Tour,26992,26992,28/05/2011
