Name,Genres,Popularity,Followers
Eve,"contemporary r&b, dance pop, hip pop, philly rap, r&b, urban contemporary",65,1324098
Thievery Corporation,"downtempo, electronica, livetronica, trip hop",59,810890
Whitechapel,"deathcore, melodic metalcore, metalcore, nu metal, tennessee metal",50,517406
Busta Rhymes,"east coast hip hop, hardcore hip hop, hip hop, pop rap, rap",71,2616539
Brray,"reggaeton, reggaeton flow, trap latino, urbano latino",73,337865
Bailey Zimmerman,"contemporary country, modern country pop",72,802169
Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",84,22716201
Don Toliver,"pop rap, rap, trap",80,3519796
Dying Fetus,"brutal death metal, death metal, deathgrind, metal, technical death metal, thrash metal",45,305295
Peso Pluma,"corridos tumbados, sad sierreno",90,9683124
Bill Evans,"bebop, contemporary post-bop, cool jazz, jazz, jazz piano, vocal jazz",60,653299
Niska,"french hip hop, pop urbaine, r&b francais",68,5278373
Pablo Alborán,"latin arena pop, latin pop, spanish pop",71,5051981
Josh A,"sad lo-fi, sad rap",60,664840
Sean Roldan,"filmi, tamil pop",59,475748
JJ Lin,"mandopop, singaporean mandopop, singaporean pop",64,2920586
MC Kevin o Chris,"funk 150 bpm, funk carioca, funk rj",74,3172251
Gioachino Rossini,"classical, italian opera, italian romanticism",50,217424
The Bouncing Souls,"asbury park indie, new jersey hardcore, new jersey punk, power-pop punk, punk, ska, ska punk, skate punk",47,201599
Nara Leão,"bossa nova, brazilian jazz, mpb, samba, tropicalia, velha guarda",48,171708
Charlotte de Witte,"belgian techno, electra",59,876133
La Fiera de Ojinaga,"musica chihuahuense, norteno, norteno-sax, sad sierreno, sierreno",64,487682
Elle McLemore,show tunes,51,2622
Volumes,"deathcore, djent, melodic metalcore, metalcore, progressive metalcore",46,176131
Porter Robinson,"complextro, edm, electro house, pop dance, progressive electro house",59,1099418
Wilkinson,"dancefloor dnb, drum and bass, uk dance",59,246419
Dropkick Murphys,"boston punk, boston rock, celtic punk, celtic rock, punk",59,1210089
Toro y Moi,"chillwave, hypnagogic pop, indie soul, indietronica",58,744301
P!nk,"dance pop, pop",78,16211945
Danny Byrd,"drum and bass, jungle, liquid funk, uk dnb",40,70675
Milky Chance,"german pop, modern rock",69,1865142
Laurindo Almeida,"bossa nova, brazilian jazz, jazz guitar, violao, violao classico",47,32652
Guided By Voices,"alternative pop, alternative rock, chamber pop, dayton indie, gbvfi, indie rock, lo-fi, modern power pop, noise pop, ohio indie, power pop, tape club",49,167981
X JAPAN,"japanese heavy metal, japanese power metal, visual kei",47,600879
Carl & Pearl Butler,"classic country pop, honky tonk",8,875
DVRST,"chill phonk, drift phonk",65,424243
DSM,,19,77
Mumuzinho,"funk carioca, pagode, pagode novo",63,2276330
Maria Marçal,brazilian gospel,62,877776
Nikolay Erdenko,russian romance,0,41
YoungBoy Never Broke Again,"baton rouge rap, rap",81,12177965
Dream Evil,"melodic metal, power metal, speed metal, swedish heavy metal, swedish power metal, symphonic metal",41,145114
Candy Lo,cantopop,45,92853
Eddie Noack,"honky tonk, western swing",30,5864
Robert Owens,"acid house, chicago house, classic house, deep house, diva house",33,13164
Fuse ODG,"afrobeats, azonto",59,139377
MEDUZA,"edm, pop dance, pop house, uk dance",74,697362
AFROJACK,"big room, dance pop, dutch house, edm, electro house, pop dance",69,4026669
Matty Valentino,"discofox, partyschlager",43,11845
Sachin-Jigar,"filmi, gujarati pop, modern bollywood",74,1878631
Kyson,ambient idm,45,35682
Noriel,"reggaeton, trap latino, urbano latino",73,7588662
Murda Beatz,"canadian hip hop, canadian trap",56,137324
Burak Bulut,turkish pop,66,770093
Sheath,"indian lo-fi, lo-fi study",40,972
Eddie Fowlkes,"detroit techno, electro, techno",18,2725
Nightcrawlers,"disco house, hip house, vocal house",59,52479
YOVNGCHIMI,"trap latino, urbano latino",73,481306
Silambarasan TR,"filmi, tamil pop",61,409984
Lucy Rose,"ambient folk, british singer-songwriter",51,277309
DizzyEight,anime rap,50,61190
Mrs. GREEN APPLE,"anime rock, j-pop, j-rock",73,3198813
Shakey Graves,"austin americana, austindie, indie folk, new americana, stomp and holler",57,521630
