id_event,short_title,performer_id,performer_name,average_price,venue_state,id_performer,name_merged,type_performer,taxonomy_id,genre_id,genre_name,postal_code,capacity,combined_venue,combined_address,combined_city,combined_venueid,combined_country
6006473,Amy Grant & Vince Gill,191,Amy Grant,567.0,TN,,,,,,,37219,2362.0,Ryman Auditorium,116 5th Avenue North,Nashville,292.0,US
6244927,Christmas With CoroRio,774897,Christmas With CoroRio,64.0,TN,,,,,,,,,Cannon Center For The Performing Arts,255 North Main Street,Memphis,1577.0,US
6236066,"Rachel Bloom: Death, Let Me Do My Show",162726,Rachel Bloom,170.0,NY,,,,,,,10003,347.0,Orpheum Theatre - NY,126 Second Ave,New York,2964.0,US
6144119,Yacht Lobsters (16+ Event),805904,Yacht Lobsters,66.0,NY,,,,,,,10010,499.0,Gramercy Theatre,127 East 23rd Street,New York,747.0,US
6299463,Lucky Boys Confusion,1157,Lucky Boys Confusion,69.0,IL,,,,,,,,,Concord Music Hall,2047 N Milwaukee Ave,Chicago,3738.0,US
6124972,Wage War with Erra,259963,Wage War,187.0,FL,259963.0,Wage War,band,2000000.0,473.0,Hard Rock,,,House of Blues - Orlando,1490 E Buena Vista Dr,Orlando,617.0,US
6131338,Gaither Vocal Band,16710,Gaither Vocal Band,76.0,NC,,,,,,,27105,14407.0,Lawrence Joel Veterans Memorial Coliseum,2825 University Pkwy.,Winston-Salem,1515.0,US
6261916,Head North: Super American ( Event) (16+),276704,Head North,46.0,NY,,,,,,,,,Rec Room - Buffalo,79 W Chippewa,Buffalo,451145.0,US
6145496,The Bouncing Souls,354,The Bouncing Souls,81.0,PA,,,,,,,,,Mr. Smalls Theatre,400 Lincoln Avenue,Millvale,358.0,US
6137633,Duncan Trussell (18+),54078,Duncan Trussell,76.0,NC,,,,,,,,,Comedy Zone Charlotte,900 Seaboard Street,Charlotte,8502.0,US
6187065,Point Break (21+),725277,Point Break,64.0,NY,,,,,,,10002,250.0,Mercury Lounge,217 East Houston Street,New York,327.0,US
6203605,Muck And The Mires with Vapors of Morphine,22340,Muck And The Mires,61.0,MA,,,,,,,,,Somerville Theatre,55 Davis Square,Somerville,1602.0,US
6128120,The Menzingers,15348,The Menzingers,125.0,MI,,,,,,,48067,2000.0,Royal Oak Music Theatre,318 West 4th St.,Royal Oak,204.0,US
6131698,The Crystal Casino Band with Divine Sweater,800747,The Crystal Casino Band,132.0,DC,,,,,,,,,The Atlantis,2047 9th St NW,Washington,521187.0,US
6087365,Meshuggah with In Flames and Whitechapel,1232,Meshuggah,145.0,QC,,,,,,,,,Place Bell,1950 Rue Claude,Laval,426031.0,Canada
6244506,Gary U.S. Bonds (21+),9914,Gary U.S. Bonds,96.0,NJ,,,,,,,,,Wonder Bar,1213 Ocean Avenue,Asbury Park,3403.0,US
6192080,Tim Baker,142330,Tim Baker,87.0,NB,,,,,,,,,Fredericton Playhouse,686 Queen Street,Fredericton,3574.0,Canada
6234184,Charles Wesley Godwin,767445,Charles Wesley Godwin,111.0,WV,767445.0,Charles Wesley Godwin,band,2000000.0,,,,,Metropolitan Theatre,369 High Street,Morgantown,3916.0,US
6212163,Dogs In A Pile,784669,Dogs In A Pile,83.0,NJ,,,,,,,,,The Stone Pony,913 Ocean Ave,Asbury Park,334.0,US
6205227,Spread Eagle,781797,Spread Eagle,59.0,NJ,,,,,,,,,Dingbatz,620 Van Houten Avenue,Clifton,3809.0,US
6232756,Zach Williams,2048,Zach Williams,122.0,SC,,,,,,,,,Beach Church,557 George Bishop Pkwy,Myrtle Beach,17794.0,US
6171844,Ryan Montbleau (18+),6265,Ryan Montbleau,82.0,MA,,,,,,,02134,476.0,Brighton Music Hall,158 Brighton Avenue,Boston,1446.0,US
6078628,Justin Quiles,356186,Justin Quiles,119.0,MA,,,,,,,,,House of Blues - Boston,15 Lansdowne Street,Boston,517.0,US
6093014,Here We Are,164833,Here We Are,213.0,NY,,,,,,,,,The Theater at The Shed,545 West 30th Street,New York,464928.0,US
6172575,Interpol,4939,Interpol,143.0,DC,4939.0,Interpol,band,2000000.0,472.0,Classic Rock,,,9:30 Club,815 V St. NW,Washington,538.0,US
5987231,Kat Edmonson,21875,Kat Edmonson,53.0,NH,,,,,,,,,Jimmys Jazz and Blues Club,135 Congress Street,Portsmouth,519488.0,US
6132555,Chris Pinnella,799493,Chris Pinnella,86.0,NJ,,,,,,,,,The Vogel at Count Basie Center for the Arts,99 Monmouth Street,Red Bank,518576.0,US
5899121,The Charleston Christmas Special,300347,The Charleston Christmas Special,90.0,SC,,,,,,,29403,935.0,Charleston Music Hall,37 John Street,Charleston,1209.0,US
6054413,Lil Darkie with Kxllswxtch,797814,Lil Darkie,103.0,FL,,,,,,,33312,3100.0,Revolution Live,200 West Broward Blvd,Fort Lauderdale,563.0,US
6171363,Z-Ro with Lil Flip,79812,Z-Ro,192.0,TX,,,,,,,,,White Oak Music Hall - Houston,2915 North Main Street,Houston,216061.0,US
6199181,Sara Evans,1586,Sara Evans,77.0,NY,,,,,,,,,Seneca Allegany Casino and Hotel,777 Seneca Allegany Blvd,Salamanca,263.0,US
6180277,Four Year Strong,749,Four Year Strong,172.0,MA,749.0,Four Year Strong,band,2000000.0,452.0,Pop,,,The Palladium,261 Main Street,Worcester,3672.0,US
6255963,Pam Tillis,1386,Pam Tillis,96.0,KY,1386.0,Pam Tillis,band,2000000.0,450.0,Country,,,New Barn Theatre,2380 Richmond Street,Renfro Valley,15654.0,US
6252550,Jack Russell's Great White,22956,Jack Russell's Great White,82.0,VA,,,,,,,,,Tally Ho,19 West Market Street,Leesburg,39314.0,US
6277910,Broken Social Scene (19+),377,Broken Social Scene,103.0,ON,,,,,,,,,The Concert Hall,888 Yonge Street,Toronto,236012.0,Canada
6172839,Holiday Doo Wop,58743,Holiday Doo Wop,92.0,NY,,,,,,,11590,2870.0,NYCB Theatre at Westbury,960 Brush Hollow Rd.,Westbury,3356.0,US
5890107,The Carolina Opry,58455,The Carolina Opry,117.0,SC,,,,,,,,,The Carolina Opry,8901 N Kings Hwy,Myrtle Beach,9730.0,US
6062675,The Wizards Of Winter,63340,The Wizards Of Winter,84.0,IN,,,,,,,46992,1500.0,Honeywell Center,275 West Market Street,Wabash,1811.0,US
6233984,An American Celtic Christmas,755263,An American Celtic Christmas,117.0,PA,,,,,,,19038,1300.0,Keswick Theatre,291 N Keswick Ave.,Glenside,689.0,US
6161484,Macy Gray,5457,Macy Gray,133.0,OH,,,,,,,44240,642.0,The Kent Stage,175 E Main St,Kent,2443.0,US
6190814,Motherfolk with Foxing,303473,Motherfolk,58.0,OH,303473.0,Motherfolk,band,2000000.0,456.0,Rock,45219,1464.0,Bogarts,2621 Vine Street,Cincinnati,549.0,US
6202891,Bobby Weir and Wolf Bros,338,Bob Weir,646.0,NY,338.0,Bob Weir,band,2000000.0,472.0,Classic Rock,10573,1800.0,The Capitol Theatre,149 Westchester Avenue,Port Chester,10406.0,US
5972478,John Berry,23383,John Berry,108.0,GA,,,,,,,,,Grand Opera House at Mercer University,651 Mulberry Street,Macon,2433.0,US
6286204,Yarn,15907,Yarn,46.0,NC,,,,,,,27601,350.0,Lincoln Theatre - NC,126 East Cabarrus Street,Raleigh,3259.0,US
6108157,Hot Mulligan,405099,Hot Mulligan,142.0,IL,405099.0,Hot Mulligan,band,2000000.0,457.0,Alternative,60654,1300.0,House of Blues Chicago,329 N Dearborn St,Chicago,515.0,US
