event_name,date,artist_name,average_price,tickets_sold,tickets_available,revenue,capacity,venue_name,venue_city,venue_country
Plus tour,2015-09-08,Ed Sheeran,66.40538020086083,13940,13940,925691,13940,Amway Center,Orlando,United States
Plus tour,2015-09-09,Ed Sheeran,66.6569298645976,13146,13146,876272,13146,American Airlines Arena,Miami,United States
Plus tour,2015-09-10,Ed Sheeran,59.37077313859343,12598,13288,747953,13288,Amalie Arena,Tampa,United States
Plus tour,2015-09-12,Ed Sheeran,61.582761419821416,13551,13551,834508,13551,Philips Arena,Atlanta,United States
Plus tour,2015-09-13,Ed Sheeran,57.45182175955313,15754,15754,905096,15754,Bridgestone Arena,Nashville,United States
Plus tour,2015-09-15,Ed Sheeran,66.31556898564659,14561,14561,965621,14561,Xcel Energy Center,Saint Paul,United States
Plus tour,2015-09-16,Ed Sheeran,41.31262939958592,21252,28630,877976,28630,Hollywood Casino Amphitheatre,Tinley Park,United States
Plus tour,2015-09-17,Ed Sheeran,38.31622835150738,20267,20372,776555,20372,Riverbend Music Center,Cincinnati,United States
Plus tour,2015-09-18,Ed Sheeran,38.333520924997444,19546,19546,749267,19546,Blossom Music Center,Cuyahoga Falls,United States
Plus tour,2015-09-20,Ed Sheeran,58.88086642599278,14404,14404,848120,14404,Air Canada Centre,Toronto,Canada
Plus tour,2015-09-22,Ed Sheeran,59.24667104095102,25909,27814,1535022,27814,Verizon Center,"Washington, D.C.",United States
Plus tour,2015-09-23,Ed Sheeran,59.24667104095102,25909,27814,1535022,27814,Verizon Center,"Washington, D.C.",United States
Plus tour,2015-09-25,Ed Sheeran,62.204342641741675,51996,54000,3234377,54000,Gillette Stadium,Foxborough,United States
Plus tour,2015-11-28,Ed Sheeran,61.8932720232333,45452,45452,2813173,45452,Suncorp Stadium,Brisbane,Australia
Plus tour,2015-12-02,Ed Sheeran,67.76483530299221,31816,31816,2156006,31816,HBF Park,Perth,Australia
Plus tour,2015-12-05,Ed Sheeran,65.43736730360934,67353,67353,4407403,67353,AAMI Park,Melbourne,Australia
Plus tour,2015-12-06,Ed Sheeran,65.43736730360934,67353,67353,4407403,67353,AAMI Park,Melbourne,Australia
Plus tour,2015-12-09,Ed Sheeran,62.594955583090076,47617,47617,2980584,47617,Allianz Stadium,Sydney,Australia
Plus tour,2015-12-12,Ed Sheeran,58.73604777667184,43201,43201,2537456,43201,Mount Smart Stadium,Auckland,New Zealand
