Date,City,Country,Venue,Opening act,Attendance,Revenue
"February 18, 2017",Mexico City,Mexico,Foro Sol,Robin Schulz,"155,201 / 155,201","$9,340,236"
"February 19, 2017",Mexico City,Mexico,Foro Sol,Robin Schulz,"155,201 / 155,201","$9,340,236"
"February 21, 2017",Mexico City,Mexico,Foro Sol,Robin Schulz,"155,201 / 155,201","$9,340,236"
Oceania[34],Oceania[34],Oceania[34],Oceania[34],Oceania[34],Oceania[34],Oceania[34]
"March 6, 2017",Perth,Australia,nib Stadium,Martin Garrix Sheppard,"24,129 / 24,129","$2,820,168"
"March 10, 2017",Melbourne,Australia,Etihad Stadium,Martin Garrix Sheppard,"54,821 / 54,821","$5,483,928"
"March 13, 2017",Brisbane,Australia,Suncorp Stadium,Martin Garrix Sheppard,"41,000 / 41,000","$4,256,386"
"March 15, 2017",Sydney,Australia,ANZ Stadium,Martin Garrix Sheppard,"65,836 / 65,836","$6,163,843"
"March 18, 2017",Auckland,New Zealand,Mount Smart Stadium,Martin Garrix Sheppard,"35,420 / 35,420","$3,678,465"
Latin America[35][36],Latin America[35][36],Latin America[35][36],Latin America[35][36],Latin America[35][36],Latin America[35][36],Latin America[35][36]
"March 23, 2017",Santiago,Chile,Estadio Nacional,—,"43,000 / 43,000","$5,007,755"
"March 29, 2017",Rio de Janeiro,Brazil,Praça da Apoteose,Rudy Mancuso,"30,801 / 30,801","$3,332,095"
"April 1, 2017",São Paulo,Brazil,Allianz Parque,Rudy Mancuso,"88,273 / 88,273","$9,187,869"
"April 2, 2017",São Paulo,Brazil,Allianz Parque,Rudy Mancuso,"88,273 / 88,273","$9,187,869"
"April 5, 2017",Lima,Peru,Estadio Nacional,"King Lotus, David Cabrera Morillos","25,103 / 29,365","$2,326,212"
"April 8, 2017",Quito,Ecuador,Estadio Olímpico Atahualpa,4 A.M.,"13,047 / 16,254","$1,420,349"
"April 12, 2017",Bogotá,Colombia,Estadio El Campín,Ali Stone,"18,783 / 22,507","$2,024,896"
"April 15, 2017",Punta Cana,Dominican Republic,Hard Rock Hotel & Casino,—,"9,482 / 11,024","$1,022,669"
"April 18, 2017",San Juan,Puerto Rico,José Miguel Agrelot Coliseum,—,"12,560 / 14,194","$1,606,420"
"April 21, 2017",Panama City,Panama,Plaza Figali,—,"7,676 / 7,676","$896,402"
"April 24, 2017",San Jose,Costa Rica,Estadio Nacional,Bartosz Brenes,"23,377 / 26,985","$2,082,325"
Asia[37][38],Asia[37][38],Asia[37][38],Asia[37][38],Asia[37][38],Asia[37][38],Asia[37][38]
"May 3, 2017",Tel Aviv,Israel,Yarkon Park,Static & Ben El Tavori,"57,958 / 58,000","$6,321,104"
"May 6, 2017",Dubai,United Arab Emirates,Autism Rocks Arena,Deen Squad Hamza Hawsawi Rodge,"23,936 / 29,690","$3,327,376"
"May 10, 2017",Mumbai,India,DY Patil Stadium,Sartek Zaeden Alan Walker,"39,376 / 39,376","$3,515,105"
Africa[38],Africa[38],Africa[38],Africa[38],Africa[38],Africa[38],Africa[38]
"May 14, 2017",Johannesburg,South Africa,FNB Stadium,Sketchy Bongo,"58,896 / 68,984","$3,078,163"
"May 17, 2017",Cape Town,South Africa,Cape Town Stadium,Sketchy Bongo,"39,706 / 45,214","$2,316,485"
Europe[38],Europe[38],Europe[38],Europe[38],Europe[38],Europe[38],Europe[38]
"June 3, 2017[b]",Landgraaf,Netherlands,Megaland,—,—,—
"June 5, 2017",Aarhus,Denmark,Jysk Væddeløbsbane,Rudimental Gnash  Adam Daniel,"36,000 / 36,000","$2,880,000"
"June 7, 2017[c]",Stavanger,Norway,Forus Travbane,—,—,—
"June 10, 2017[d]",Stockholm,Sweden,Gärdet,—,—,—
"June 15, 2017",Bern,Switzerland,Stade de Suisse,Halsey,"32,108 / 40,236","$3,151,958"
"June 18, 2017[e]",Monza,Italy,Autodromo Nazionale Monza,Martin Garrix Bastille Alma Mamacita,—,—
"June 21, 2017",Dublin,Ireland,RDS Arena,Halsey,"30,653 / 31,740","$3,487,723"
"June 24, 2017[f]",Lille,France,Stade Pierre-Mauroy,—,—,—
"June 25, 2017[g]",Frankfurt,Germany,Commerzbank Arena,—,—,—
"June 30, 2017",Cardiff,Wales,Principality Stadium,Halsey,"38,434 / 45,021","$2,680,252"
"July 2, 2017[h]",London,England,Hyde Park,Martin Garrix Tove Lo  Anne-Marie,—,—
Total,Total,Total,Total,Total,"2,832,121 / 2,897,874 (99%)","$259,364,636[45]"
